pose_pure.x;pose_pure.y;pose_pure.z;pose_pure.yaw;pose_pure.pitch;pose_pure.roll;imu_pure.dtheta;imu_pure.dphi;imu_pure.dpsi;loch_doppler_pure.vx;loch_doppler_pure.vy;loch_doppler_pure.vz;imu_pure.ddx;imu_pure.ddy;imu_pure.ddz;Transponder;Transponder.001;Transponder.002;Transponder.003;pose_noisy.x;pose_noisy.y;pose_noisy.z;pose_noisy.yaw;pose_noisy.pitch;pose_noisy.roll;imu_noisy.dtheta;imu_noisy.dphi;imu_noisy.dpsi;loch_doppler_noisy.vx;loch_doppler_noisy.vy;loch_doppler_noisy.vz;imu_noisy.ddx;imu_noisy.ddy;imu_noisy.ddz;Transponder;Transponder.001;Transponder.002;Transponder.003
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.03615951211633557;-0.012441508173971482;0.15766672293742018;8.464491428588741e-05;-9.447836112575826e-05;-0.0002551838823237789;-0.00013531927834264934;-6.470027437899262e-05;-0.00016241117555182427;0.0;0.0;0.0;0.09910982847213745;-0.11266972869634628;9.81733512878418;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.35417084999653564;0.03556677115890541;0.2717743466471004;0.0004989198595814402;-2.260744009617257e-05;0.00038783165628966096;9.693438914837316e-05;-4.269491910235956e-05;-0.00023600821441505104;0.0;0.0;0.0;-0.13007545471191406;0.0013579062651842833;9.876398086547852;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.10299322707462512;0.04593300337501775;-0.20347343818978592;3.945334637715097e-05;2.167568452368266e-05;-0.00031639171591915974;-0.00030871035414747894;4.152072870056145e-05;-9.615452290745452e-05;0.0;0.0;0.0;-0.13507112860679626;0.02206888608634472;9.848950386047363;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.24984715178726657;-0.33929656513355094;0.06394263754792402;0.0004373792784024276;-7.831172122876276e-05;0.00073354406547381;0.00014492066111415625;6.854901585029438e-05;3.5269351883471245e-06;0.0;0.0;0.0;0.13259029388427734;0.07253389060497284;9.894410133361816;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.029272908506965106;0.05965316655014351;0.3189244971751207;-0.00045517372040795325;-0.00017535711210279326;-0.00024248340212346312;-8.58809580677189e-05;-0.0003257602802477777;-0.00047127221478149295;0.0;0.0;0.0;-0.1596066951751709;-0.09605903923511505;9.778985977172852;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.1360514424616317;0.12267741507010517;-0.13461688523952378;-0.0002684983904555687;-0.0005181827484655078;-0.0001797767138806891;-3.680499503389001e-05;-0.00015879461716394871;0.00029821370844729245;0.0;0.0;0.0;0.17617982625961304;-0.06223341077566147;9.784417152404785;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.012528973762321476;-0.034028434095938434;-0.22067159798167998;0.0009675352973707637;0.0004035487319104149;-0.00045170626684298414;-0.00031421860330738127;-0.0003893899847753346;0.00018223539518658072;0.0;0.0;0.0;-0.02351359836757183;0.03243036940693855;9.907607078552246;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.17342503897607905;0.10812912727607703;0.01492088240865587;-0.0005275619304712208;-0.000538182640035245;0.00020469236489329377;0.00024232106807176024;-1.887733378680423e-05;-9.616644092602655e-05;0.0;0.0;0.0;-0.06172344088554382;0.020548442378640175;9.764432907104492;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.29895427953591835;0.18543671929749558;-0.26440813530271545;6.560996711725285e-05;6.048250778001494e-05;6.874990289680322e-06;0.000208877885597758;-0.00038800519541837275;0.0002509696059860289;0.0;0.0;0.0;0.12498939037322998;-0.01923193968832493;9.921632766723633;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.2274519753397566;0.032174763190993154;-0.02126607534544248;-0.00013174192010357205;0.00024407888646684037;0.00018014286673346953;-0.00013947312254458666;-0.00014075057697482407;-0.00015267312119249254;0.0;0.0;0.0;-0.014675350859761238;0.0850810706615448;9.842041015625;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.18447231317564008;-0.026772213565439427;-0.08975016807242388;0.000103232891921658;0.0005078567904648214;4.485129212382067e-05;0.0001585786958457902;0.00017353454313706607;-7.545970584033057e-05;0.0;0.0;0.0;0.07445576041936874;0.09822528809309006;9.85249137878418;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.0057335292949001575;-0.23067937715606687;-0.03499487013820059;-0.00016774737282027524;-5.8244687219583316e-05;-0.0006852186580640744;0.0001572041801409796;-7.749417818558868e-06;-0.00020481355022639036;0.0;0.0;0.0;0.0622967854142189;0.03153431788086891;9.749242782592773;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.11126699613899393;-0.2651546545084569;0.04440910735421349;1.2785835107045769e-05;0.00018257191640217384;0.00021365021768510268;-0.00025238803937099874;3.8803453207947314e-05;0.0002947473549284041;0.0;0.0;0.0;-0.03412585332989693;-0.005992101971060038;9.740367889404297;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.029895294280420197;-0.15324200389191012;0.07433014057439472;0.000416508165141981;9.07911937760356e-05;5.2137798838207306e-05;3.798800753429532e-05;-0.00026197408442385495;0.00010944556561298668;0.0;0.0;0.0;0.046477895230054855;-0.23583567142486572;9.817095756530762;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.012153635022703701;0.10891044716500338;-0.0346753352827626;-0.000313662085509255;0.0003304842856133366;-4.957148015021594e-05;-9.838656114879996e-05;4.096182237844914e-05;4.181355961918598e-06;0.0;0.0;0.0;0.13085593283176422;-0.03437384217977524;9.7124605178833;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.01938233151534867;-0.11000416662491484;0.11201665066891249;-0.00047673870175991834;4.442548750005805e-05;2.9703859230003804e-05;0.00019686830637510866;9.711198799777776e-05;-8.204363257391378e-05;0.0;0.0;0.0;0.05878961831331253;-0.017265524715185165;9.760092735290527;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.17212773857896527;-0.2735350132696682;-0.007857923567856253;-0.00013267846961170524;-0.0006559710376808683;-3.720405540144495e-05;-7.523370732087642e-05;0.00017450527229811996;7.417835877276957e-05;0.0;0.0;0.0;0.022794878110289574;-0.16022266447544098;9.733119010925293;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.22414609352705464;0.04196872799093673;-0.10591758017637558;0.00048818132308427496;-0.0003140951388670564;-0.00032692079692183995;0.0003167791001033038;7.390736573142931e-05;-1.0754267350421287e-05;0.0;0.0;0.0;0.11108945310115814;-0.006801242474466562;9.74544906616211;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.2859260602415979;-0.1341369007806632;0.2467032941479894;0.00011186229817185625;-0.0002241376290607497;0.0003667467261376038;0.00013995046901982278;6.805005250498652e-05;-2.5221794203389436e-05;0.0;0.0;0.0;0.12209364771842957;-0.009014264680445194;9.838512420654297;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
