pose_pure.x;pose_pure.y;pose_pure.z;pose_pure.yaw;pose_pure.pitch;pose_pure.roll;imu_pure.dtheta;imu_pure.dphi;imu_pure.dpsi;loch_doppler_pure.vx;loch_doppler_pure.vy;loch_doppler_pure.vz;imu_pure.ddx;imu_pure.ddy;imu_pure.ddz;Transponder;Transponder.001;Transponder.002;Transponder.003;pose_noisy.x;pose_noisy.y;pose_noisy.z;pose_noisy.yaw;pose_noisy.pitch;pose_noisy.roll;imu_noisy.dtheta;imu_noisy.dphi;imu_noisy.dpsi;loch_doppler_noisy.vx;loch_doppler_noisy.vy;loch_doppler_noisy.vz;imu_noisy.ddx;imu_noisy.ddy;imu_noisy.ddz;Transponder;Transponder.001;Transponder.002;Transponder.003
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.05461583820293428;-0.0641855714045726;0.25560709759460737;0.00048456029972398037;0.0001134356188168089;0.00034662799283766735;5.259748286334798e-05;4.932446972816251e-05;0.00015783426351845264;0.0;0.0;0.0;0.07500027120113373;-0.0894971638917923;9.707680702209473;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.2077416904147433;0.2127057676031475;0.06707924485974465;-0.0009417895091687995;0.00025302926880607597;-0.00018616644140662144;0.00035166097222827375;-0.0001467121037421748;5.591328954324126e-05;0.0;0.0;0.0;0.03312904015183449;-0.09008636325597763;9.813321113586426;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.20288088579194818;0.007926660645786022;-0.10760681340498135;1.684423427033851e-05;-0.0002176848890620905;-0.0001709283485926413;0.0002802659582812339;-0.00031023321207612753;9.06590576050803e-05;0.0;0.0;0.0;-0.007392287254333496;0.018578624352812767;9.846518516540527;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.3111810762902644;0.16945768037587064;0.19552826800133657;0.00045834415909647684;-2.8050654936942367e-05;-0.0005962214198522264;-5.5006821639835835e-05;2.3660979422857054e-05;-5.3086136176716536e-05;0.0;0.0;0.0;0.23391784727573395;0.020925333723425865;9.802154541015625;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.06076987402073717;0.13523673020080232;0.046311445037854;0.00019711559992903317;0.0002570445546225142;-5.353652714265728e-05;-0.0003048350918106735;-0.00023683530162088573;0.00020748654787894338;0.0;0.0;0.0;0.04714037477970123;-0.17358984053134918;9.768954277038574;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.032233926179869844;0.03537953770195406;-0.08882813832261417;0.0003504006342635725;-0.00014459883849739994;-0.00033220160930519236;-7.020073553576367e-06;-1.2770395187544636e-05;-8.839323709253222e-05;0.0;0.0;0.0;-0.12216713279485703;-0.09543401002883911;9.985384941101074;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.2573607025483432;-0.020141897887570877;0.08025587556419488;-0.0002220255934849556;-7.31014248060356e-05;0.0003622221562561474;-5.383088137023151e-05;6.857084827061044e-06;3.8462541851913556e-05;0.0;0.0;0.0;-0.09415489435195923;0.003443400841206312;9.92497444152832;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;0.019951654449424174;0.0038076743912799586;0.0283710177439898;-0.00021915841734753363;-0.0003473232819797621;-0.00011696632265967975;-0.00021303875837475061;-1.0682244464987889e-05;-9.339496500615496e-06;0.0;0.0;0.0;0.09591908007860184;0.005063094198703766;9.64491081237793;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.007666019018506956;-0.11584044861362226;0.025124389299595574;0.00011358278996218;5.563179945588352e-06;-0.00015327377281098875;0.00011477368389023468;-0.0001785396016202867;0.00022962181537877768;0.0;0.0;0.0;-0.014617123641073704;0.04724162071943283;9.706998825073242;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.005675501247875826;-0.0007081865624683551;0.14018351449235447;0.0004300201234508844;-0.0002709113885706544;-0.00046648087750432524;-8.205094491131604e-05;0.00024226469395216554;-0.00018814696522895247;0.0;0.0;0.0;-0.15681008994579315;0.025526320561766624;9.738524436950684;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8100004196167;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791;-0.0036778175592483333;0.18170048904138436;-0.029667066540859377;-6.377663803947562e-05;6.0098088764128764e-05;-0.0003839006831875758;-4.7630295739509165e-05;-0.00030170398531481624;-0.0001442615030100569;0.0;0.0;0.0;-0.1294798105955124;-0.009238679893314838;9.689785957336426;80.05900770062844;46.048607369471796;57.1379766716618;91.19607453178791
