#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder,002;Transponder,005;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder,002;Transponder,005
3,943333387;0;0;0;0;0;0;0;0;2,700004339;0;0;3,000068665;0;9,81000042;118,0798736;349,1360048;3,913406955;-0,062833685;0,115910124;-0,00020052;4,28E-05;0,000503557;-6,30E-05;-0,000242805;0,00012912;2,899989843;0;0;3,176109552;-0,031946853;9,927961349;118,3564558;348,9940553
4,224999905;0;0;0;0;0;0;0;0;3,19999671;0;0;1,999855042;0;9,81000042;118,6592507;348,8388612;4,629285805;-0,008971548;0,129351494;-0,000188252;-1,82E-05;0,000356628;9,76E-05;7,18E-06;-7,25E-05;3,19999671;0;0;2,970313787;-0,152746156;9,899542809;118,6592507;348,8388612
4,871666431;0;0;0;0;0;0;0;0;3,499974966;0;0;2,999782562;0;9,81000042;118,9915395;348,6688015;5,010691821;0,012795101;0,012237886;-0,000368377;-3,86E-05;0,000790129;7,37E-05;0,000245032;-0,000151084;3,500003576;0;0;2,902451038;-0,047357161;9,770910263;118,9915395;348,6688015
5,221666813;0;0;0;0;0;0;0;0;3,500003576;0;0;0,000286102;0;9,81000042;119,3353222;348,4931359;5,145720052;0,13766688;0,086447802;-7,25E-05;-0,000617388;-0,000478146;0,000188917;-6,10E-06;-0,000353361;3,499974966;0;0;-0,227953404;-0,145216346;9,79898262;119,3353222;348,4931359
5,571666718;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;119,6791411;348,3177335;5,900164696;-0,129837444;0,12260024;-8,51E-05;-0,000177303;0,000332398;0,000101801;4,99E-06;0,000176783;3,500003576;0;0;-0,030773323;0,018193631;9,773324013;119,6791411;348,3177335
5,921666622;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;120,0229956;348,1425945;5,910525845;-0,179834151;0,060458329;-0,000184853;-0,000684211;-0,000322982;2,63E-05;0,00017221;8,65E-06;3,500003576;0;0;0,103809044;0,179885656;9,689415932;120,0229956;348,1425945
6,271666527;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;120,3668855;347,9677195;6,065727957;-0,098706495;0,001414942;0,000509606;-0,000476335;0,00033424;3,71E-05;0,000326774;0,000127127;3,500003576;0;0;-0,026103204;-0,024225984;9,919716835;120,3668855;347,9677195
6,621666431;0;0;0;0;0;0;0;0;3,499974966;0;0;-0,000286102;0;9,81000042;120,7108106;347,7931087;6,788556506;-0,158381114;0,097246565;1,14E-05;-0,000425974;-0,000350866;-6,03E-06;-0,000219979;-0,000184274;3,500003576;0;0;-0,051618777;-0,100590318;9,838984489;120,7108106;347,7931087
6,971666813;0;0;0;0;0;0;0;0;3,500003576;0;0;0,000286102;0;9,81000042;121,0547705;347,6187626;6,832164533;0,222973402;0,044825719;-9,53E-05;-0,000444706;2,82E-05;5,75E-05;-0,000264338;0,000126894;3,500003576;0;0;0,237318382;-0,037191018;9,680124283;121,0547705;347,6187626
7,321666718;0;0;0;0;0;0;0;0;3,500003576;0;0;0;0;9,81000042;121,398765;347,4446816;7,304988626;-0,209106299;0,094539074;-0,000144796;-0,000210842;-0,000382456;4,24E-05;-0,000158913;-2,01E-05;3,500003576;0;0;-0,154841676;0,073821314;9,888284683;121,398765;347,4446816
