#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder;Transponder,003;Transponder,005;Transponder,006;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder;Transponder,003;Transponder,005;Transponder,006
1,374821305;1,519932866;0;0;0;1,25333333;0;0;0,101487353;2,199995995;-0,003667218;0;3,001237154;0,184998885;9,81000042;202,5375624;176,5574296;350,3113882;131,5664183;1,500038411;1,579933377;-0,072381533;9,25E-05;0,000449215;1,253090163;-0,000140054;-4,57E-06;0,101498097;2,199995995;-0,003667218;0;3,075462103;0,352942526;9,838953972;202,5375624;176,5574296;350,3113882;131,5664183
1,446709752;1,741914988;0;0;0;1,263333321;0;0;0,101487353;2,499993801;-0,004167674;0;3,001443148;0,214989483;9,81000042;202,4505921;176,7147509;350,2567585;131,6472816;1,008485985;1,988940931;-0,279615298;-6,60E-05;0,000365961;1,262959221;0,000154819;0,000119938;0,101584725;2,499993801;-0,004167674;0;2,940873384;0,23744598;9,800704002;202,4505921;176,7147509;350,2567585;131,6472816
1,525831103;1,994826555;0;0;0;1,273333311;0;0;0,101487353;2,799998283;-0,00466387;0;3,001711845;0,245031148;9,81000042;202,3497021;176,8937793;350,1961146;131,7417241;1,652085596;1,964208254;0,150673625;-0,000220679;0,000274142;1,27384234;-4,02E-05;-0,000158389;0,101593696;2,799994469;-0,004669775;0;3,061025381;0,051073752;9,785967827;202,3497021;176,8937793;350,1961146;131,7417241
1,525831103;1,994826555;0;0;0;1,273333311;0;0;0,101487353;2,799998283;-0,00466387;0;3,001711845;0,245031148;9,81000042;202,3497021;176,8937793;350,1961146;131,7417241;1,652085596;1,964208254;0,150673625;-0,000220679;0,000274142;1,27384234;6,78E-05;-0,000137848;0,101589002;2,999989271;-0,005000305;0;1,861699462;0,491686165;9,911481857;202,2370242;177,0900916;350,1313092;131,8479614
1,699535847;2,581299305;0;0;0;1,293333292;0;0;0,101487353;3,399995565;-0,005672244;0;4,002061844;0,293272138;9,81000042;202,1095605;177,3082829;350,0611956;131,9690494;1,556412898;2,653392332;-0,120634775;0,000192662;-0,000492;1,293442282;0,000101974;-0,000116307;0,10172233;3,399995565;-0,005672244;0;3,895568371;0,257225573;9,822070122;202,1095605;177,3082829;350,0611956;131,9690494
1,699535847;2,581299305;0;0;0;1,293333292;0;0;0,101487353;3,59999156;-0,006000197;0;2,002227545;0,336711466;9,81000042;201,9695801;177,5439132;349,987566;132,1030786;1,716466084;3,055743863;-0,063294396;-0,000234061;-5,97E-05;1,30304877;0,00010068;3,26E-05;0,101462863;3,59999156;-0,006000197;0;2,106824636;0,348029703;9,714468956;201,9695801;177,5439132;349,987566;132,1030786
1,891963124;3,282012463;0;0;0;1,313333273;0;0;0,101487353;3,900000334;-0,006498744;0;3,002488375;0,355004698;9,81000042;201,8133218;177,8027338;349,909022;132,253921;2,046766172;3,437497368;0,224853686;-0,000733231;9,74E-05;1,312706189;-0,000385644;-0,000113432;0,101637565;3,999985456;-0,006674131;0;3,131206274;0,414963394;9,760438919;201,8133218;177,8027338;349,909022;132,253921
1,891963124;3,282012463;0;0;0;1,313333273;0;0;0,101487353;3,900000334;-0,006498744;0;3,002488375;0,355004698;9,81000042;201,8133218;177,8027338;349,909022;132,253921;2,046766172;3,437497368;0,224853686;-0,000733231;9,74E-05;1,312706189;-0,000429164;0,000192115;0,101481818;3,999985695;-0,006671241;0;1,041050434;0,384994328;9,787086487;201,6459479;178,0757401;349,8286508;132,4168536
1,992201328;3,669247389;0;0;0;1,323333383;0;0;0,101487353;3,999985695;-0,006671241;0;1,002452612;0,388265312;9,81000042;201,6459479;178,0757401;349,8286508;132,4168536;2,239627517;4,343975115;0,102603448;-1,89E-05;0,000307513;1,333289505;0,000222935;9,65E-06;0,101346277;4,000000477;-0,00666428;0;-0,017506665;0,44455117;9,774794579;201,4756877;178,349293;349,750618;132,5839498
2,181036234;4,446627617;0;0;0;1,343333364;0;0;0,101487353;3,999990463;-0,006665247;0;0,002565002;0,399980396;9,81000042;201,302551;178,6233625;349,6749329;132,7551772;2,025351353;4,714535476;-0,098900326;-0,000105308;0,000785722;1,343186313;-0,000186212;-9,54E-05;0,101501167;3,999990463;-0,006665247;0;0,054850459;0,561015904;9,846921921;201,302551;178,6233625;349,6749329;132,7551772
