#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder;Transponder,003;Transponder,005;Transponder,006;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder;Transponder,003;Transponder,005;Transponder,006
4,116666794;0;0;0;0;0;0;0;0;3,500003576;0;0;1,999998093;0;9,81000042;205,5527838;175,9908528;349,0486312;128,8446621;4,385972052;0,004701558;0,207278591;-0,000554595;-0,000444913;0,000508818;-0,000452987;0,000126614;0,000460882;3,500003576;0;0;2,104795933;-0,041955691;9,630903244;205,5527838;175,9908528;349,0486312;128,8446621
4,476666451;0;0;0;0;0;0;0;0;3,799981833;0;0;2,999782562;0;9,81000042;205,8228378;176,0507707;348,8673681;128,6049787;4,320454513;-0,025536923;-0,174879028;-0,000355254;0,000343381;0,000492029;0,000356081;-2,08E-05;6,85E-05;3,900003195;0;0;3,112018347;0,025516368;9,821630478;205,8228378;176,0507707;348,8673681;128,6049787
4,873333454;0;0;0;0;0;0;0;0;3,999995947;0;0;2,000141144;0;9,81000042;206,1207155;176,1176199;348,6679644;128,3415341;4,909879717;0,051621096;-0,16760757;7,03E-05;-0,000185285;-0,000211077;-3,57E-05;0,000104664;0,000137345;3,999995947;0;0;2,169113874;-0,018419018;9,794169426;206,1207155;176,1176199;348,6679644;128,3415341
4,873333454;0;0;0;0;0;0;0;0;3,999995947;0;0;2,000141144;0;9,81000042;206,1207155;176,1176199;348,6679644;128,3415341;5,48711853;-0,124184042;0,023486397;0,000486472;-9,24E-05;0,000284179;9,93E-05;4,59E-05;-0,000106824;4,000024319;0;0;0,038859203;-0,08917021;9,757531166;206,4214331;176,1859095;348,4672266;128,076571
5,673333168;0;0;0;0;0;0;0;0;3,999995947;0;0;-0,000283718;0;9,81000042;206,7224872;176,2550804;348,2668326;127,8123105;5,509301008;-0,030945115;0,300241349;-0,000228698;0,000317219;0,00047992;0,000139336;-2,26E-05;-0,000303353;3,999995947;0;0;0,012403904;-0,017538136;9,804831505;206,7224872;176,2550804;348,2668326;127,8123105
6,073333263;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;207,0238763;176,3251316;348,0667829;127,5487569;6,25327675;-0,187806723;-0,069279621;-0,00032953;-0,000277423;0,000176342;6,03E-05;-0,000237873;0,000158354;4,000024319;0;0;-0,126720279;0,029027849;9,812342644;207,0238763;176,3251316;348,0667829;127,5487569
6,473333359;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;207,3255991;176,3960621;347,8670781;127,2859146;6,901411448;-0,075674991;-0,083708674;-0,000555716;-0,000244522;-0,000147054;0,00017966;-0,000181506;0,000109324;3,999995947;0;0;0,083209231;0,08184737;9,6992836;207,3255991;176,3960621;347,8670781;127,2859146
6,873333454;0;0;0;0;0;0;0;0;3,999995947;0;0;0;0;9,81000042;207,627654;176,4678707;347,6677188;127,023788;6,917341666;0,056648144;-0,229522438;-0,000114909;0,000154369;-0,000349111;-2,17E-05;0,000180908;0,000110344;3,999995947;0;0;0,074725121;0,046895284;9,91694355;207,627654;176,4678707;347,6677188;127,023788
7,273333549;0;0;0;0;0;0;0;0;4,000024319;0;0;0,000283718;0;9,81000042;207,9300396;176,5405564;347,4687056;126,7623816;7,185652865;-0,119281531;-0,086727664;0,00052855;-0,000455114;0,000140382;7,54E-05;-7,90E-06;5,67E-05;3,999995947;0;0;-0,116947472;0,099485956;9,686805725;207,9300396;176,5405564;347,4687056;126,7623816
7,673333168;0;0;0;0;0;0;0;0;3,999995947;0;0;-0,000283718;0;9,81000042;208,2327545;176,6141181;347,2700391;126,5016998;7,624304093;0,167314719;0,087061587;0,000405595;3,28E-05;-0,000235754;-0,000267886;-1,25E-05;6,44E-05;3,999995947;0;0;0,115111887;0,073202208;9,945949554;208,2327545;176,6141181;347,2700391;126,5016998
